"시도(1)","부문(1)","규모(1)",2020. 08,2020. 09,2020. 10
"서울","공공부문","60㎡이하",0,0,0
"서울","공공부문","60∼85㎡",0,0,0
"서울","민간부문","60㎡이하",54,52,50
"서울","민간부문","60∼85㎡",2,2,2
"서울","민간부문","85㎡초과",0,0,0
"부산","공공부문","60㎡이하",0,0,0
"부산","공공부문","60∼85㎡",0,0,0
"부산","민간부문","60㎡이하",577,590,562
"부산","민간부문","60∼85㎡",735,665,560
"부산","민간부문","85㎡초과",142,142,140
"대구","공공부문","60㎡이하",0,0,0
"대구","공공부문","60∼85㎡",0,0,0
"대구","민간부문","60㎡이하",143,113,104
"대구","민간부문","60∼85㎡",1437,1061,999
"대구","민간부문","85㎡초과",44,42,40
"대전","공공부문","60㎡이하",0,0,0
"대전","공공부문","60∼85㎡",0,0,0
"대전","민간부문","60㎡이하",782,772,831
"대전","민간부문","60∼85㎡",1,1,1
"대전","민간부문","85㎡초과",0,0,0
